Year,Total male population (000s),Total female population (000s),Total population (000s),Median age,Sex ratio,Median age at death,Total fertility,Child dependency,Elderly dependency,Total dependency
2017,"2,389.50","2,427.70","4,817.20",42.1,98.4,80.9,"1,370",0.276,0.285,0.561
2018,"2,411.70","2,454.20","4,865.90",42.3,98.3,80.9,"1,412",0.274,0.294,0.569
2019,"2,437.70","2,484.30","4,922.00",42.4,98.1,81.1,"1,413",0.274,0.304,0.578
2020,"2,464.60","2,515.60","4,980.10",42.5,98,81.2,"1,410",0.275,0.314,0.589
2021,"2,491.90","2,547.80","5,039.70",42.7,97.8,81.3,"1,409",0.276,0.324,0.601
2022,"2,519.70","2,580.60","5,100.30",42.8,97.6,81.4,"1,406",0.278,0.335,0.613
2023,"2,547.60","2,613.70","5,161.40",43,97.5,81.6,"1,405",0.28,0.345,0.625
2024,"2,575.50","2,646.50","5,222.00",43.1,97.3,81.8,"1,403",0.282,0.355,0.637
2025,"2,603.20","2,679.00","5,282.10",43.3,97.2,81.9,"1,401",0.283,0.366,0.649
2026,"2,631.40","2,711.90","5,343.30",43.5,97,82.1,"1,400",0.284,0.376,0.66
2027,"2,660.00","2,745.40","5,405.40",43.7,96.9,82.3,"1,399",0.285,0.385,0.67
2028,"2,688.10","2,778.60","5,466.70",43.8,96.7,82.5,"1,397",0.286,0.395,0.681
2029,"2,715.70","2,811.50","5,527.20",44,96.6,82.7,"1,395",0.287,0.404,0.691
2030,"2,742.90","2,843.90","5,586.70",44.2,96.4,83.1,"1,393",0.288,0.411,0.7
2031,"2,769.50","2,875.50","5,645.00",44.4,96.3,83.4,"1,386",0.288,0.417,0.705
2032,"2,796.00","2,907.00","5,702.90",44.6,96.2,83.7,"1,387",0.288,0.421,0.71
2033,"2,822.20","2,938.10","5,760.40",44.7,96.1,84,"1,384",0.288,0.426,0.714
2034,"2,847.50","2,968.30","5,815.80",44.9,95.9,84.3,"1,385",0.288,0.431,0.719
2035,"2,872.10","2,998.00","5,870.10",45.2,95.8,84.6,"1,386",0.288,0.436,0.724
2036,"2,896.50","3,027.40","5,923.90",45.4,95.7,84.9,"1,389",0.287,0.441,0.728
2037,"2,920.40","3,056.20","5,976.70",45.6,95.6,85.2,"1,390",0.286,0.443,0.729
2038,"2,944.00","3,084.40","6,028.40",45.8,95.4,85.5,"1,392",0.284,0.445,0.73
2039,"2,967.10","3,112.10","6,079.20",46.1,95.3,85.8,"1,394",0.282,0.447,0.729
2040,"2,989.80","3,139.30","6,129.10",46.3,95.2,86.2,"1,396",0.28,0.449,0.729
2041,"3,012.20","3,166.10","6,178.30",46.6,95.1,86.5,"1,398",0.278,0.45,0.729
