2031,"2,769.5","2,875.5","5,645.0",44.4,96.3,83.4,"1,386",0.288,0.417,0.705,,
2032,"2,796.0","2,907.0","5,702.9",44.6,96.2,83.7,"1,387",0.288,0.421,0.710,,
2033,"2,822.2","2,938.1","5,760.4",44.7,96.1,84.0,"1,384",0.288,0.426,0.714,,
2034,"2,847.5","2,968.3","5,815.8",44.9,95.9,84.3,"1,385",0.288,0.431,0.719,,
2035,"2,872.1","2,998.0","5,870.1",45.2,95.8,84.6,"1,386",0.288,0.436,0.724,,
2036,"2,896.5","3,027.4","5,923.9",45.4,95.7,84.9,"1,389",0.287,0.441,0.728,,
2037,"2,920.4","3,056.2","5,976.7",45.6,95.6,85.2,"1,390",0.286,0.443,0.729,,
2038,"2,944.0","3,084.4","6,028.4",45.8,95.4,85.5,"1,392",0.284,0.445,0.730,,
2039,"2,967.1","3,112.1","6,079.2",46.1,95.3,85.8,"1,394",0.282,0.447,0.729,,
2040,"2,989.8","3,139.3","6,129.1",46.3,95.2,86.2,"1,396",0.280,0.449,0.729,,
2041,"3,012.2","3,166.1","6,178.3",46.6,95.1,86.5,"1,398",0.278,0.450,0.729,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source:,,,Estimates - Statistics Canada,,,,,,,,,
,,,"Projections - BC Stats, June 2018",,,,,,,,,
,,,,,,,,,,,,
Note:,,,All figures are as of July 1st of the year stated    |    Median Age = The age at which half the population is younger and half is older,,,,,,,,,
,,,Child Dependency = [Population of age 0 to 17] / [Population of age 18 to 64]    |   Elderly Dependency = [Population of age 65+] / [Population of age 18 to 64],,,,,,,,,
,,,Total Dependency = The sum of Child Dependency and Elderly Dependency    |   Sex Ratio = Number of males per 100 females,,,,,,,,,
,,,Total Fertility Rate = Sum of the age specific birth rates over all ages of child bearing period (age 15 to 49),,,,,,,,,
