Reported_Date,HA,Sex,Classification_Reported,Age_Group_Extract,Case Count
2020-03-15,Vancouver Coastal,F,Lab-diagnosed,40-49,1
2020-03-15,Vancouver Coastal,F,Lab-diagnosed,80-89,1
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,90+,1
2020-03-15,Fraser,M,Lab-diagnosed,60-69,2
2020-03-15,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-15,Vancouver Island,M,Lab-diagnosed,30-39,1
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,40-49,3
2020-03-16,Fraser,F,Lab-diagnosed,40-49,1
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,50-59,4
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,20-29,3
2020-03-16,Fraser,F,Lab-diagnosed,70-79,1
2020-03-16,Fraser,M,Lab-diagnosed,30-39,1
2020-03-16,Fraser,F,Lab-diagnosed,50-59,2
2020-03-16,Vancouver Island,M,Lab-diagnosed,40-49,2
2020-03-16,Fraser,M,Lab-diagnosed,60-69,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,50-59,2
2020-03-16,Northern,F,Lab-diagnosed,40-49,1
2020-03-16,Interior,F,Lab-diagnosed,70-79,2
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-16,Fraser,F,Lab-diagnosed,20-29,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,90+,3
2020-03-16,Fraser,F,Lab-diagnosed,60-69,1
2020-03-16,Fraser,M,Lab-diagnosed,70-79,1
2020-03-16,Out of Canada,M,Lab-diagnosed,60-69,1
2020-03-16,Fraser,M,Lab-diagnosed,80-89,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,30-39,2
2020-03-16,Vancouver Island,F,Lab-diagnosed,50-59,1
2020-03-16,Fraser,M,Lab-diagnosed,50-59,2
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,80-89,2
2020-03-16,Vancouver Coastal,F,Lab-diagnosed,40-49,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,90+,1
2020-03-16,Vancouver Coastal,M,Lab-diagnosed,70-79,1
2020-03-16,Vancouver Island,F,Lab-diagnosed,60-69,1
2020-03-16,Vancouver Island,F,Lab-diagnosed,70-79,1
2020-03-17,Fraser,M,Lab-diagnosed,80-89,2
2020-03-17,Fraser,F,Lab-diagnosed,60-69,4
2020-03-17,Fraser,F,Lab-diagnosed,30-39,3
2020-03-17,Vancouver Coastal,M,Lab-diagnosed,90+,2
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,90+,5
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,70-79,3
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,20-29,2
2020-03-17,Fraser,M,Lab-diagnosed,40-49,3
2020-03-17,Fraser,M,Lab-diagnosed,20-29,1
2020-03-17,Vancouver Coastal,M,Lab-diagnosed,80-89,2
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-17,Fraser,F,Lab-diagnosed,40-49,3
2020-03-17,Fraser,F,Lab-diagnosed,20-29,2
2020-03-17,Vancouver Island,F,Lab-diagnosed,70-79,1
2020-03-17,Fraser,F,Lab-diagnosed,50-59,2
2020-03-17,Vancouver Island,F,Lab-diagnosed,30-39,1
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,80-89,1
2020-03-17,Fraser,F,Lab-diagnosed,70-79,1
2020-03-17,Vancouver Coastal,M,Lab-diagnosed,50-59,3
2020-03-17,Fraser,M,Lab-diagnosed,30-39,1
2020-03-17,Vancouver Coastal,M,Lab-diagnosed,70-79,1
2020-03-17,Fraser,M,Lab-diagnosed,10-19,1
2020-03-17,Vancouver Coastal,F,Lab-diagnosed,40-49,3
2020-03-17,Fraser,M,Lab-diagnosed,60-69,1
2020-03-17,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-18,Vancouver Island,M,Lab-diagnosed,70-79,1
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,70-79,1
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,40-49,3
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,80-89,3
2020-03-18,Fraser,F,Lab-diagnosed,20-29,3
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,70-79,2
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,60-69,2
2020-03-18,Fraser,M,Lab-diagnosed,60-69,2
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,80-89,2
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,<10,0
2020-03-18,Vancouver Island,F,Lab-diagnosed,40-49,2
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,50-59,2
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,20-29,1
2020-03-18,Vancouver Coastal,M,Lab-diagnosed,30-39,4
2020-03-18,Vancouver Island,M,Lab-diagnosed,50-59,1
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,90+,1
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,40-49,2
2020-03-18,Fraser,F,Lab-diagnosed,10-19,1
2020-03-18,Fraser,M,Lab-diagnosed,20-29,1
2020-03-18,Vancouver Island,M,Lab-diagnosed,10-19,1
2020-03-18,Fraser,F,Lab-diagnosed,40-49,1
2020-03-18,Fraser,F,Lab-diagnosed,30-39,1
2020-03-18,Fraser,M,Lab-diagnosed,70-79,2
2020-03-18,Vancouver Island,M,Lab-diagnosed,40-49,1
2020-03-18,Interior,F,Lab-diagnosed,70-79,1
2020-03-18,Fraser,M,Lab-diagnosed,40-49,1
2020-03-18,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-18,Vancouver Island,F,Lab-diagnosed,20-29,1
2020-03-18,Fraser,M,Lab-diagnosed,50-59,1
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,40-49,3
2020-03-19,Fraser,M,Lab-diagnosed,40-49,2
2020-03-19,Vancouver Island,F,Lab-diagnosed,20-29,1
2020-03-19,Interior,F,Lab-diagnosed,60-69,2
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,60-69,6
2020-03-19,Vancouver Coastal,M,Lab-diagnosed,60-69,4
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,20-29,2
2020-03-19,Interior,F,Lab-diagnosed,20-29,1
2020-03-19,Fraser,M,Lab-diagnosed,<10,0
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,50-59,3
2020-03-19,Vancouver Island,F,Lab-diagnosed,60-69,1
2020-03-19,Vancouver Island,M,Lab-diagnosed,30-39,1
2020-03-19,Vancouver Coastal,M,Lab-diagnosed,50-59,2
2020-03-19,Vancouver Island,F,Lab-diagnosed,30-39,5
2020-03-19,Vancouver Coastal,M,Lab-diagnosed,30-39,1
2020-03-19,Fraser,F,Lab-diagnosed,50-59,2
2020-03-19,Interior,F,Lab-diagnosed,40-49,1
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,80-89,2
2020-03-19,Fraser,F,Lab-diagnosed,60-69,2
2020-03-19,Fraser,M,Lab-diagnosed,30-39,3
2020-03-19,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-19,Interior,M,Lab-diagnosed,60-69,1
2020-03-19,Out of Canada,F,Lab-diagnosed,40-49,1
2020-03-19,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-19,Fraser,F,Lab-diagnosed,20-29,1
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,90+,1
2020-03-19,Vancouver Coastal,F,Lab-diagnosed,70-79,1
2020-03-19,Fraser,M,Lab-diagnosed,60-69,1
2020-03-19,Fraser,F,Lab-diagnosed,40-49,1
2020-03-19,Fraser,F,Lab-diagnosed,30-39,1
2020-03-20,Vancouver Coastal,F,Lab-diagnosed,30-39,6
2020-03-20,Vancouver Coastal,F,Lab-diagnosed,70-79,1
2020-03-20,Interior,F,Lab-diagnosed,50-59,1
2020-03-20,Fraser,F,Lab-diagnosed,30-39,6
2020-03-20,Vancouver Coastal,M,Lab-diagnosed,30-39,1
2020-03-20,Vancouver Coastal,F,Lab-diagnosed,40-49,3
2020-03-20,Fraser,M,Lab-diagnosed,30-39,3
2020-03-20,Vancouver Island,M,Lab-diagnosed,60-69,1
2020-03-20,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-20,Interior,F,Lab-diagnosed,40-49,1
2020-03-20,Fraser,M,Lab-diagnosed,60-69,1
2020-03-20,Vancouver Coastal,M,Lab-diagnosed,40-49,5
2020-03-20,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-20,Fraser,M,Lab-diagnosed,50-59,1
2020-03-20,Vancouver Coastal,F,Lab-diagnosed,50-59,6
2020-03-20,Interior,M,Lab-diagnosed,30-39,2
2020-03-20,Interior,F,Lab-diagnosed,70-79,1
2020-03-20,Fraser,F,Lab-diagnosed,50-59,4
2020-03-20,Vancouver Island,F,Lab-diagnosed,40-49,2
2020-03-20,Vancouver Coastal,M,Lab-diagnosed,60-69,4
2020-03-20,Fraser,M,Lab-diagnosed,20-29,2
2020-03-20,Fraser,F,Lab-diagnosed,80-89,1
2020-03-20,Fraser,F,Lab-diagnosed,60-69,1
2020-03-20,Fraser,F,Lab-diagnosed,20-29,3
2020-03-20,Fraser,F,Lab-diagnosed,40-49,1
2020-03-20,Vancouver Island,M,Lab-diagnosed,70-79,1
2020-03-20,Interior,M,Lab-diagnosed,40-49,1
2020-03-20,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-20,Vancouver Island,F,Lab-diagnosed,20-29,1
2020-03-21,Fraser,F,Lab-diagnosed,50-59,4
2020-03-21,Fraser,M,Lab-diagnosed,70-79,5
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,40-49,2
2020-03-21,Fraser,M,Lab-diagnosed,50-59,3
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,20-29,1
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,50-59,4
2020-03-21,Fraser,M,Lab-diagnosed,30-39,2
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,60-69,2
2020-03-21,Fraser,F,Lab-diagnosed,20-29,3
2020-03-21,Interior,F,Lab-diagnosed,10-19,1
2020-03-21,Fraser,M,Lab-diagnosed,60-69,3
2020-03-21,Fraser,M,Lab-diagnosed,40-49,3
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-21,Fraser,M,Lab-diagnosed,80-89,2
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,80-89,3
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,30-39,4
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,60-69,4
2020-03-21,Fraser,F,Lab-diagnosed,30-39,3
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,80-89,4
2020-03-21,Vancouver Island,M,Lab-diagnosed,70-79,1
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,70-79,3
2020-03-21,Interior,F,Lab-diagnosed,40-49,1
2020-03-21,Northern,F,Lab-diagnosed,50-59,1
2020-03-21,Out of Canada,M,Lab-diagnosed,40-49,1
2020-03-21,Vancouver Coastal,F,Lab-diagnosed,70-79,3
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-21,Fraser,F,Lab-diagnosed,40-49,1
2020-03-21,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-21,Fraser,F,Lab-diagnosed,60-69,1
2020-03-21,Interior,M,Lab-diagnosed,50-59,1
2020-03-21,Vancouver Island,F,Lab-diagnosed,60-69,1
2020-03-21,Fraser,F,Lab-diagnosed,70-79,2
2020-03-21,Fraser,F,Lab-diagnosed,80-89,1
2020-03-22,Vancouver Island,M,Lab-diagnosed,70-79,2
2020-03-22,Fraser,F,Lab-diagnosed,30-39,2
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,40-49,2
2020-03-22,Fraser,M,Lab-diagnosed,30-39,2
2020-03-22,Vancouver Island,M,Lab-diagnosed,50-59,1
2020-03-22,Interior,M,Lab-diagnosed,30-39,2
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,20-29,2
2020-03-22,Interior,F,Lab-diagnosed,20-29,1
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,60-69,2
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,50-59,5
2020-03-22,Fraser,F,Lab-diagnosed,50-59,3
2020-03-22,Interior,F,Lab-diagnosed,60-69,2
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-22,Vancouver Coastal,M,Lab-diagnosed,70-79,2
2020-03-22,Fraser,M,Lab-diagnosed,70-79,1
2020-03-22,Vancouver Coastal,M,Lab-diagnosed,30-39,3
2020-03-22,Interior,F,Lab-diagnosed,30-39,2
2020-03-22,Fraser,F,Lab-diagnosed,70-79,3
2020-03-22,Vancouver Coastal,F,Lab-diagnosed,80-89,1
2020-03-22,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-22,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-22,Interior,M,Lab-diagnosed,50-59,1
2020-03-22,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-22,Fraser,M,Lab-diagnosed,60-69,3
2020-03-22,Fraser,F,Lab-diagnosed,20-29,1
2020-03-22,Interior,M,Lab-diagnosed,<10,0
2020-03-22,Fraser,F,Lab-diagnosed,60-69,1
2020-03-22,Vancouver Island,M,Lab-diagnosed,40-49,1
2020-03-22,Fraser,F,Lab-diagnosed,40-49,1
2020-03-22,Vancouver Island,F,Lab-diagnosed,20-29,1
2020-03-23,Fraser,F,Lab-diagnosed,20-29,2
2020-03-23,Interior,F,Lab-diagnosed,40-49,1
2020-03-23,Northern,M,Lab-diagnosed,40-49,1
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,40-49,1
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,40-49,2
2020-03-23,Fraser,F,Lab-diagnosed,60-69,2
2020-03-23,Fraser,F,Lab-diagnosed,40-49,2
2020-03-23,Fraser,F,Lab-diagnosed,50-59,2
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,20-29,1
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,90+,3
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,80-89,3
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-23,Fraser,F,Lab-diagnosed,30-39,3
2020-03-23,Vancouver Island,M,Lab-diagnosed,50-59,1
2020-03-23,Fraser,M,Lab-diagnosed,50-59,2
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,30-39,3
2020-03-23,Fraser,M,Lab-diagnosed,70-79,2
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,50-59,4
2020-03-23,Fraser,M,Lab-diagnosed,40-49,3
2020-03-23,Interior,F,Lab-diagnosed,20-29,1
2020-03-23,Fraser,M,Lab-diagnosed,30-39,2
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,80-89,2
2020-03-23,Fraser,F,Lab-diagnosed,90+,1
2020-03-23,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-23,Interior,M,Lab-diagnosed,40-49,1
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-23,Vancouver Coastal,M,Lab-diagnosed,90+,1
2020-03-23,Interior,M,Lab-diagnosed,30-39,1
2020-03-23,Fraser,M,Lab-diagnosed,80-89,1
2020-03-24,Interior,F,Lab-diagnosed,30-39,4
2020-03-24,Vancouver Coastal,M,Lab-diagnosed,70-79,3
2020-03-24,Vancouver Island,F,Lab-diagnosed,80-89,1
2020-03-24,Interior,F,Lab-diagnosed,50-59,5
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,80-89,1
2020-03-24,Vancouver Coastal,M,Lab-diagnosed,50-59,3
2020-03-24,Fraser,M,Lab-diagnosed,80-89,1
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,30-39,3
2020-03-24,Northern,M,Lab-diagnosed,50-59,1
2020-03-24,Interior,M,Lab-diagnosed,60-69,2
2020-03-24,Interior,M,Lab-diagnosed,30-39,1
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,40-49,3
2020-03-24,Fraser,F,Lab-diagnosed,70-79,2
2020-03-24,Fraser,F,Lab-diagnosed,30-39,3
2020-03-24,Fraser,M,Lab-diagnosed,30-39,1
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,20-29,2
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,50-59,2
2020-03-24,Fraser,F,Lab-diagnosed,40-49,2
2020-03-24,Fraser,M,Lab-diagnosed,70-79,3
2020-03-24,Interior,F,Lab-diagnosed,40-49,2
2020-03-24,Fraser,M,Lab-diagnosed,40-49,1
2020-03-24,Interior,F,Lab-diagnosed,60-69,1
2020-03-24,Fraser,F,Lab-diagnosed,20-29,1
2020-03-24,Fraser,M,Lab-diagnosed,50-59,1
2020-03-24,Out of Canada,F,Lab-diagnosed,50-59,1
2020-03-24,Fraser,F,Lab-diagnosed,80-89,1
2020-03-24,Vancouver Island,F,Lab-diagnosed,50-59,1
2020-03-24,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-24,Interior,M,Lab-diagnosed,40-49,1
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-24,Vancouver Coastal,M,Lab-diagnosed,60-69,2
2020-03-24,Fraser,M,Lab-diagnosed,60-69,1
2020-03-24,Northern,F,Lab-diagnosed,20-29,1
2020-03-24,Interior,M,Lab-diagnosed,50-59,1
2020-03-24,Vancouver Coastal,M,Lab-diagnosed,30-39,1
2020-03-24,Out of Canada,M,Lab-diagnosed,30-39,1
2020-03-24,Vancouver Coastal,F,Lab-diagnosed,90+,1
2020-03-24,Vancouver Island,M,Lab-diagnosed,70-79,1
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,70-79,6
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,30-39,4
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,90+,3
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,60-69,3
2020-03-25,Vancouver Island,M,Lab-diagnosed,60-69,1
2020-03-25,Vancouver Island,F,Lab-diagnosed,40-49,1
2020-03-25,Vancouver Island,M,Lab-diagnosed,70-79,1
2020-03-25,Fraser,M,Lab-diagnosed,30-39,2
2020-03-25,Interior,F,Lab-diagnosed,40-49,1
2020-03-25,Fraser,F,Lab-diagnosed,20-29,1
2020-03-25,Fraser,M,Lab-diagnosed,50-59,4
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,80-89,5
2020-03-25,Vancouver Island,F,Lab-diagnosed,70-79,1
2020-03-25,Fraser,F,Lab-diagnosed,40-49,2
2020-03-25,Fraser,F,Lab-diagnosed,30-39,5
2020-03-25,Interior,F,Lab-diagnosed,50-59,1
2020-03-25,Interior,M,Lab-diagnosed,50-59,1
2020-03-25,Fraser,F,Lab-diagnosed,50-59,4
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,40-49,3
2020-03-25,Interior,M,Lab-diagnosed,60-69,2
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,50-59,4
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,70-79,4
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,40-49,4
2020-03-25,Fraser,F,Lab-diagnosed,60-69,1
2020-03-25,Fraser,M,Lab-diagnosed,20-29,2
2020-03-25,Vancouver Coastal,F,Lab-diagnosed,50-59,3
2020-03-25,Vancouver Island,F,Lab-diagnosed,30-39,1
2020-03-25,Northern,M,Lab-diagnosed,40-49,1
2020-03-25,Fraser,M,Lab-diagnosed,80-89,1
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,20-29,2
2020-03-25,Interior,M,Lab-diagnosed,30-39,1
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,80-89,2
2020-03-25,Fraser,F,Lab-diagnosed,70-79,1
2020-03-25,Interior,F,Lab-diagnosed,30-39,1
2020-03-25,Vancouver Coastal,M,Lab-diagnosed,10-19,1
2020-03-26,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-26,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-26,Interior,F,Lab-diagnosed,60-69,1
2020-03-26,Fraser,M,Lab-diagnosed,<10,0
2020-03-26,Fraser,M,Lab-diagnosed,60-69,3
2020-03-26,Fraser,F,Lab-diagnosed,80-89,3
2020-03-26,Interior,M,Lab-diagnosed,60-69,2
